reviewId,text
ChdDSUhNMG9nS0VJQ0FnSUNYOXUzYnF3RRAB,
ChZDSUhNMG9nS0VJQ0FnSUNuNE8yQ1dREAE,Yellow Thai Curry Bowl with Chicken was delicious
ChZDSUhNMG9nS0VJQ0FnSUQ3eU5tY1RREAE,Clean slate catered our wedding and it was phenomenal! All of our guests loved the taco bar. These guys are awesome to plan an event with! 10/10 recommend for any catering needs.
ChdDSUhNMG9nS0VJQ0FnSUNyeDY2RV9RRRAB,"This place has me feeling like a health goddess over my lunch hour. Lovely ingredients, delicious (and large portioned) meals, and incredibly friendly staff. Plant-based and omnivorous meals are both available here. I love this sustainable, whole foods-focused place!"
ChdDSUhNMG9nS0VJQ0FnSUNMb2ItWXd3RRAB,I have allergies and I like to eat healthy. This place is fantastic. I was in Omaha for training and had lunch and dinner 4 days in a row here. Solid 5 stars.
ChdDSUhNMG9nS0VJQ0FnSUNMLXZiVHJRRRAB,"I can't recommend Clean Slate enough to all my friends and family! They are one of the only businesses I know in the area who provides fresh and healthy meals, and one of even fewer businesses who offer vegan options!!! My husband and I love the variety of meals that come in each week's meal sets, there's always so much variety! The staff at Clean Slate is always so friendly and accommodating, they make ordering and delivery of meals a breeze. We love their downtown space as well, it's always nice to stop in and pick up a few extra meals for the week or enjoy a warm meal down at their shop. If you haven't had Clean Slate before, give it a try, you won't regret it!!"
ChZDSUhNMG9nS0VJQ0FnSUNMNnFTSERnEAE,"I had the privilege of meeting the people who work at this eatery while working as security at the college world series on Friday and Saturday.  they are amazing every single person who works there the food is outstanding I could not believe how amazing everything taste.  I will never forget their customer service their food and I will be coming to eat there frequently in the future! I love everything I love the atmosphere the food the people their employees it's a great area and in this area of town there is this wonderful wonderful clean slate restaurant that will never forget.
On a personal note I know you probably won't remember me but I will remember and love you for all time thank you so much for all the love you showed everyone!!
POSITIVE VIBES ONLY 
Elizabeth Fitkin ❤️"
ChdDSUhNMG9nS0VJQ0FnSUNMeXNXV253RRAB,"Was so lucky to find such a clean good restaurant in Omaha. They have prepped food to go as well as a sitting area to order fresh food. We had the panang curry, chicken sandwich, brassica salad and the tropical smoothie. All excellent. It’s not too far from the stadium either."
ChZDSUhNMG9nS0VJQ0FnSUR6NVpLV0dBEAE,
ChdDSUhNMG9nS0VJQ0FnSUNqOFl1LWpBRRAB,"Excellent food, great people. Love giving my money to locals with a good product."
ChdDSUhNMG9nS0VJQ0FnSUNqOGZPS3ZBRRAB,
ChdDSUhNMG9nS0VJQ0FnSUNEdmVxUzRnRRAB,
ChZDSUhNMG9nS0VJQ0FnSUNEc3BxQVlnEAE,Clean slate has been a life safer for me - they cater to my gluten and dairy allergy and the food quality and flavor is top notch.
ChdDSUhNMG9nS0VJQ0FnSUNEZ3RQSWtBRRAB,I love the healthy options and all of the different variety of meals each week. It’s great knowing my lunch is taken care of everyday. Everything is so yummy and I’ve never had any packaging or delivery issues.
ChdDSUhNMG9nS0VJQ0FnSUNEOU1DTG1nRRAB,
ChZDSUhNMG9nS0VJQ0FnSUN0dUk3dldnEAE,"This is an amazing service and great food. I work from home so having a healthy, great-tasting variety of meals each week that I didn’t have to plan and prep is great. Service and communication is excellent as well. Highly recommend."
ChdDSUhNMG9nS0VJQ0FnSUNEMUtyMmxBRRAB,
ChZDSUhNMG9nS0VJQ0FnSUNEbEpxZmJnEAE,"Clean Slate meal delivery service is awesome. Each week you get 6 items delivered to your door. The food is fresh, delicious, and served in almost all compostable containers (that you return to be composted). In 3 months, I haven't had a repeat dish - good because I get to try new things, only bad because there have been some awesome meals I would like to have again. The salads and sauces are amazing. Some of my favorite dishes have been a harissa chicken bowl, baingan bharta, a sweet potato/kale/turkey buddha bowl, and a creamy mushroom soup.  I highly recommend this meal service!"
ChZDSUhNMG9nS0VJQ0FnSUNENUlHWEtBEAE,I have used Clean Slate delivery service for over 2 years now and I love it. They now have the option to choose your meals and it’s one less thing I have to worry about during the week. It makes clean eating way more convenient!
ChZDSUhNMG9nS0VJQ0FnSUNENU9LQUxnEAE,"We’ve been trying to eat healthier and get out of our comfortable food “rut”.  We’ve looked at other meal delivery options , but found nothing with the variety, appealing entrees and convenience of Clean Slate.  We have been so satisfied with the quality, taste and portion size of products, the convenience of ordering (and requesting substitutions), and the efficiency of delivery.  It’s also a great way to become a bit more “food adventurous “!"
ChZDSUhNMG9nS0VJQ0FnSUNEcEtfQ0pnEAE,"Loyal subscriber! Clean Slate is a VERY welcomed part of my weekly routine. Having healthy meals on hand throughout the week has eliminated the need for expensive, last minute food deliveries and over eating random snacks as a meal. I've tried many food subscriptions from Blue Apron to Factor to Daily Harvest - and this is it for me! The food is fresh, clean and often local. And on top of it affordable when you consider what you save on groceries and ordering. I often work late and having a fun meal waiting for dinner has been a game changer. The delivery team is friendly and accessible if there are any issues."
