reviewId,text
ChZDSUhNMG9nS0VJQ0FnSUNIOXBmOFR3EAE,"Customer service was terrible… employee was dry, rude and it was almost like being in the store was a bother to the employee. Definitely will not go back here again. Food was mediocre."
ChdDSUhNMG9nS0VJQ0FnSUNidF9YdzJBRRAB,Update hours on Google maps please
ChdDSUhNMG9nS0VJQ0FnSURMNXRTNXBBRRAB,The foods was good.
ChdDSUhNMG9nS0VJQ0FnSUQxOUxpUXJ3RRAB,Food taste super bland and like one step above a tv dinner.
ChdDSUhNMG9nS0VJQ0FnSURobHVmUTJ3RRAB,
ChdDSUhNMG9nS0VJQ0FnSURoblAzZm9nRRAB,My first meal was delicious and heakthy!
ChZDSUhNMG9nS0VJQ0FnSUNoNnVuMFpnEAE,I'm so glad they reopened; wish it weren't right next door to a cookie place. A lot of the meals are pretty high in fat so it's hard to make them fit in your macros. If you're on a cut it would be impossible. I wish there were more ground turkey options.
ChZDSUhNMG9nS0VJQ0FnSURlNjVDX0h3EAE,Dennis was very helpful helping me pick out delicious meals to best suit my dietary restrictions and food allergies. He was very professional. The food was delicious and healthy. I HIGHLY recommend Eat Fit Go!
ChdDSUhNMG9nS0VJQ0FnSURlcTluTGdBRRAB,"Quick, easy and delicious!  If ever I was asked what 3 words I would use to describe Eat Fit Go those 3 words would be it.  The staff is always friendly and courteous and the food has not disappointed either.  Definitely recommend to anyone that's looking for good healthy food either while out and about or not wanting to cook at home!  Keep up the good work!"
ChdDSUhNMG9nS0VJQ0FnSUN1ajlEMjdRRRAB,"Súper fast. The pre made meals are convenient, and the first couple I tried were considerably better than other meal prep services I’ve tried. Definitely recommend."
ChZDSUhNMG9nS0VJQ0FnSUN1NE1fbVBnEAE,"I've been using Eat Fit Go for over a year now and I absolutely love this place. Staff is always so friendly and helpful. The meals are so tasty and macro friendly, I buy these for my lunches! They also have a pick up store option and also a free delivery option so it's super easy to get your meals! If you've never been I would definitely trying some meals, you won't be disappointed!"
ChZDSUhNMG9nS0VJQ0FnSUNPbHBHcU5REAE,"We were happy to hear that they emerged after bankruptcy, because they used to be a great alternative to cooking at home and eating dinner out.  So when we saw the advertisement that they had returned to Village Pointe Mall, we were thrilled.  My dinner was the salmon alfredo.  Before bankruptcy the salmon alfredo actually had pasta noodles in it; it now has chickpeas instead of noodles.  Healthier, I get that, but it tastes like rubbery, plasticky, gummy goo.  Yes, I agree, chickpeas are filling because of this, but they taste really bad.  I tried to take every bite with the seasoned salmon to add taste, but I could barely swallow it as it still tasted like glue, or a filler; gummy, sticky, ick :(  Glad they are back but sad that their food, while at a reasonable $12.50 per item, tastes so generic and hard to swallow.  Too sad that this company has so much potential but misses the mark going cheap!  A smart decision to add shelf life by vacuum sealing; but if it doesn't taste good, that really doesn't even matter."
ChZDSUhNMG9nS0VJQ0FnSURtMnYtald3EAE,Better off getting food in the fresh section at walmart.  Salmon alfredo was over $13 and tasted like it was a tv dinner.
ChdDSUhNMG9nS0VJQ0FnSUNtbzdhTTN3RRAB,"Will never do business with this company again. I placed an order for 6 meals. When they were delivered, two were missing from my order. No biggie - mistakes happen. Tried to find a contact number to reach customer service, but the only way to get in touch is email. Fine. Emailed the company letting them know 2 meals were missing. No response. Emailed them again several days later. Still no response. Finally, unable to get any response from the company, I disputed the overage with my credit card company. What do you know? Eat Fit Go responded to that by DISPUTING my dispute. So now I've paid for two meals that I will never receive. Well Eat Fit Go, enjoy your extra $16. You've lost a long-term customer."
ChZDSUhNMG9nS0VJQ0FnSUNHd05PeUJ3EAE,Delicious and fast
ChZDSUhNMG9nS0VJQ0FnSURHajZtWWVBEAE,"First time trying Eat Fit, with working, hockey, the gym, and coaching I don't have the time to cook. Their food is quality and very good! Will definitely be going back and start buying a weeks worth of food."
ChZDSUhNMG9nS0VJQ0FnSUQ2MU9TOUdnEAE,
ChdDSUhNMG9nS0VJQ0FnSUNhbHUybG1RRRAB,
ChZDSUhNMG9nS0VJQ0FnSURxMnQ2MFpnEAE,Good  selection of food
ChZDSUhNMG9nS0VJQ0FnSURxMHF1X2VBEAE,
ChdDSUhNMG9nS0VJQ0FnSURxdklia21nRRAB,"I would not recommend them any more.
We went there weekly spent a lot of money when my husband had Cancer. We had a gift card that we misplaced when we moved tried  to use it last week and was told we could not use it. This was unfortunate new because my husband got his cancer back and was looking forward to getting weekly meals again. They where not even willing to work with us. We love to help small businesses but unfortunately take our business Elsewhere."
ChdDSUhNMG9nS0VJQ0FnSUNxZ0xMNjlnRRAB,
