reviewId,text
ChZDSUhNMG9nS0VJQ0FnSUQzOF92X09nEAE,Great place! The decor and vibe is great and welcoming. Good choice to try all vegan for the first time. Food was amazing! I recommend the hot honee sandwich with the potato salad. Delish.
ChZDSUhNMG9nS0VJQ0FnSUQzczZfd1NnEAE,"Went for lunch, was seated & order was taken, then the waitress comes back from the kitchen and informs us that they have no cook and didn't know when they would have one."
ChdDSUhNMG9nS0VJQ0FnSUNNZ2Z5dDd3RRAB,
ChZDSUhNMG9nS0VJQ0FnSUQzMU9hNUh3EAE,"12 Nov 24  Modern Love in Midtown Crossing (MC) is Closing.
.  Business turnover is normal. But the pace of turnover for MC appears to be accelerating.
.  Remember Arlan's, Alamo, Garbo's, Going Postal, Ingredient, Wohlner's, etal.
.  WHY?!"
ChZDSUhNMG9nS0VJQ0FnSUQzbElfVGFnEAE,"12 Nov 2024   Modern Love at Midtown Crossing has announced it is closing.
.  Modern Love provides an important alternative dining opportunity.
.  It will be missed."
ChZDSUhNMG9nS0VJQ0FnSUQzbE8yaUJREAE,"This is the best vegan restaurant for comfort food, hands down!"
ChdDSUhNMG9nS0VJQ0FnSUMzdC02SXNnRRAB,"I got the nachos for lunch and garlic Alfredo pasta for dinner the next night. That pasta was so yummy even a day later! The nachos were very filling. Food was good, the price was a bit higher than I thought, especially for Omaha. When I entered the restaurant, it reeked of sulfur, so I’m not sure if it’s normally like that. My server was very nice to me and the food came out pretty quickly. I’m happy a fully vegan restaurant exists in Omaha. Highly recommend the Alfredo pasta and nachos! I’d probably order takeaway if the restaurant still smells like sulfur."
ChZDSUhNMG9nS0VJQ0FnSUMzOWRLT0N3EAE,
ChZDSUhNMG9nS0VJQ0FnSUMzeElPTU9BEAE,"This is one of the few (basically only) vegan restaurants in Omaha and I want to give it 5 stars so bad but I've had some pretty big issues with menu availability and service. For example, one day when when I had about an hour to get in and out my table ordered a few appetizers and drinks and nothing ever came. We ended up still paying and got some food put into to-go containers but no one working offered any other solution besides us paying for the food. Also multiple times when I've tried to order speciality meals for take out (that say they're available) I'll get calls saying the items aren't and their website never updates with that info. My final concern is the rising prices and what feels like smaller portion sizes for some of their meals.

I will continue to recommend this restaurant because we need more vegan options for people and hopefully they can fix some of these issues."
ChdDSUhNMG9nS0VJQ0FnSURYcWVLcjdnRRAB,Food was disappointing.  I've had more gourmet vegan food from chain restaurants (ex. Cheesecake Factory).
ChdDSUhNMG9nS0VJQ0FnSUR5dTRHN3JRRRAB,"I've had meatless nachos from coast to coast and these are BY FAR the most excellent nachos of them all. The chili burger is also incredible, especially with a side of potato salad. Highly recommend!
Edit: We went back and had Mac n Chews, fried mozzarella balls and pumpkin milkshakes. Everything was incredible as always!"
ChZDSUhNMG9nS0VJQ0FnSUNYal9DUEh3EAE,
ChZDSUhNMG9nS0VJQ0FnSUNYcDdQaVh3EAE,Great food!
ChZDSUhNMG9nS0VJQ0FnSUNYenVuNWZnEAE,
ChdDSUhNMG9nS0VJQ0FnSUNYN01UVWxnRRAB,"Great find!

Went in for a business meeting and the other two people I went with recommended this place.

I ordered a Hot Chicken Sandwich (or something like that) and split the Mac and Cheese with wings with my boyfriend.

The Mac and Cheese was soooooo good. Very flavorful and the wings were so tasty.

The sandwich was delicious and the salad was great.

I really wanted the Feta and Strawberry salad but they were out of it and none of the other salads interested me.

I wish I would’ve had room for dessert as it all looked amazing.

The place is cute and prices were decent. Service was good.

I’ll definitely be back when I’m visiting Omaha!"
ChdDSUhNMG9nS0VJQ0FnSURubGRqV2dnRRAB,"A fantastic restaurant with delicious food and great gluten-free options! Though I’m not usually a fan of tofu, the hot honey sandwich was crispy and flavorful. We also tried a spiked shake, which was excellent. The house-made sauces were a highlight—I’m not typically into ketchup, but theirs was outstanding. With great service and reasonable prices, it was an all-around enjoyable experience!"
ChdDSUhNMG9nS0VJQ0FnSUR5Mk52aTRRRRAB,Did a curbside pickup and ordered their vegan cheese burger with a side order of brussel sprouts. Very good food!
ChZDSUhNMG9nS0VJQ0FnSURucXZDaVpnEAE,"Non vegan here, they know what they are doing fantastic service and food, presentation is not a priority for me but I really appreciate that my meal was as aesthetic as it was tasteful, it is a rarity for dine-in let alone take out was thouroughly impressed!"
ChdDSUhNMG9nS0VJQ0FnSUNucGRfSW1RRRAB,
ChdDSUhNMG9nS0VJQ0FnSUNuenFEcWtBRRAB,"I was so excited to go to this place, but was so disappointed. What I ordered was horrible. The Goddess bowl smelled burnt and tasted burnt, including the rice (which was crunchy). It also included brussel sprouts (not on menu description) which I hate. They have GF options but not very many! And offer a GF bun, but it’s kind of pointless since the vegan meats all have gluten. The “milk”shake was okay and the curry my daughter got was decent (rice was again terrible). Decor was on point. But for a $50 ticket (that I don’t mind paying for a good vegan meal!) I left hungry. Will not visit again :("
ChZDSUhNMG9nS0VJQ0FnSUNuNXNuSFV3EAE,
ChZDSUhNMG9nS0VJQ0FnSUNuZ3RxM2VBEAE,Foods here so good. 👍
ChdDSUhNMG9nS0VJQ0FnSUNuMEptTS1BRRAB,"The food was okay, I was disappointed. They were WAY overpriced! Service was good."
ChZDSUhNMG9nS0VJQ0FnSURIODUtWUJBEAE,
ChZDSUhNMG9nS0VJQ0FnSURIODhUcUhREAE,
ChZDSUhNMG9nS0VJQ0FnSURILVptRWN3EAE,
ChZDSUhNMG9nS0VJQ0FnSURIdWFpRFZREAE,"As a disclaimer, we typically only leave reviews for places that are either excellent or a big flop.  We decided to try this place while visiting Omaha due to many excellent reviews. We've been cooking plant-based for around 4 years and, honestly, skip this place. Save yourself a lot of money and cook at home. They do validate parking, though."
ChZDSUhNMG9nS0VJQ0FnSURIcU5IRFdBEAE,"Special place, worth the price!"
ChZDSUhNMG9nS0VJQ0FnSUNIeTRURVBBEAE,
ChdDSUhNMG9nS0VJQ0FnSUNIc2NqUGx3RRAB,"Aren't we all lucky that in the Northeastern corner of Nebraska, there's an all-vegan restaurant serving creative and delicious vegan comfort food? There's nothing to be said about good old MoLo that hasn't already been said...They're a staple of Omaha. They're a treasure of Nebraska. A bit pricey to go there more often but worth it at least a few times every now and then.

Recommendations: Fried Mozzarella, Beet Reuben, Mac and Shews, Shakes"
ChdDSUhNMG9nS0VJQ0FnSUNIb3EzQW53RRAB,"📸Butterfly Lemonade - so yummy - and the quote on the wall at Modern Love (Omaha) ""Always take a big bite it's such a gorgeous sight.""📸 The chef prepares delicious vegan dishes that are appealing to the palate and the eyes. We enjoy chatting with Jen, the server, as she always remembers us when we come in. She is attentive, warm, and friendly. Been to both MOLOs, Omaha and NYC, and both are great!"
ChZDSUhNMG9nS0VJQ0FnSUNIdkx1elB3EAE,
ChZDSUhNMG9nS0VJQ0FnSUNIdE1TQ1dnEAE,
ChdDSUhNMG9nS0VJQ0FnSUQ3XzhQNHZnRRAB,Best vegan food around! It’s an Omaha staple!!
ChZDSUhNMG9nS0VJQ0FnSUQ3XzRpTExBEAE,"100% Vegan restaurant .
Went to Modern Love for my daughter's birthday. It was quite the experience being that I'm not vegan but I did try a little bit of everything. I was pretty impressed. The food was very tasty, a lot of good flavor. I'm not a fan of tofu but it's probably a texture thing. The service was amazing. Our waitress was very knowledgeable and helpful with the menu items. I loved the dreamy atmosphere...it was comfy and relaxing."
ChdDSUhNMG9nS0VJQ0FnSUQ3MlpURDVRRRAB,"We're on our yearly trip to Omaha from Minnesota. We always go to Modern Love multiple times each visit. We did brunch twice and dinner once and ordered two dinners to drive home with. The food here is perfect and 100% vegan..Thank you to our wonderful
server, Jen who took us all three times!"
ChdDSUhNMG9nS0VJQ0FnSUQ3NHZqZ2tRRRAB,"ML never disappoints. I had the hot dog lunch special today, tried the bahn mi dog and cookout dog. So good!"
ChdDSUhNMG9nS0VJQ0FnSUM3OWJTMTVnRRAB,"This was quite literally the worst experience I have ever had at a resturaunt. It took them 25 minutes to even greet me when I sat down, i had to get up & serve my own water & when I ordered my food they brought out something completely different & asked me if that was okay AFTER ALREADY BRINGING THE WRONG FOOD OUT. The food was TERRIBLE & the service was something out of this world. There are no words to describe how awful this experience was. Do not come here if you are coming to Omaha."
